Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1997, 15 - 19,"2,155.40",1095.5,1060
1997, 20 - 24,"1,941.20",980.4,960.9
1997, 25 - 29,"1,815.10",916.7,898.4
1997, 30 - 34,"1,709.60",867.2,842.4
1997, 35 - 39,"1,528.70",780.6,748.1
1997, 40 - 44,"1,300.00",668.9,631.1
1997, 45 - 49,"1,010.90",524.3,486.5
1997, 50 - 54,746.4,389.4,357
1997, 55 - 59,595,303.1,291.8
1997, 60 - 64,464.2,228.3,235.9
1997, 65 - 69,342,164.9,177.1
1997, 70 - 74,221.4,104.7,116.7
1997, 75 - 79,137.8,62,75.9
1997, 80 - 84,77.1,33.6,43.5
1997, 85+,55.6,22.9,32.7
1998, 0 - 4,"2,738.10",1414.8,1323.3
1998, 5 - 9,"2,585.00",1329.9,1255.1
1998, 10 - 14,"2,458.60",1254,1204.7
1998, 15 - 19,"2,221.10",1128.1,1093
1998, 20 - 24,"1,984.30",1002.2,982.1
1998, 25 - 29,"1,848.10",933.3,914.7
1998, 30 - 34,"1,752.40",888.7,863.6
1998, 35 - 39,"1,577.30",805,772.3
1998, 40 - 44,"1,350.60",694.9,655.8
1998, 45 - 49,"1,075.40",557.2,518.2
1998, 50 - 54,783.7,409.2,374.4
1998, 55 - 59,612.7,314.5,298.2
1998, 60 - 64,483.2,238,245.2
1998, 65 - 69,353.1,170,183.1
1998, 70 - 74,235,111.7,123.3
1998, 75 - 79,137.6,62.4,75.2
1998, 80 - 84,81.1,35,46.1
1998, 85+,56.2,23.3,33
1999, 0 - 4,"2,773.40",1431.7,1341.7
1999, 5 - 9,"2,617.50",1348.6,1268.9
1999, 10 - 14,"2,494.70",1272.5,1222.2
1999, 15 - 19,"2,282.20",1158.4,1123.8
1999, 20 - 24,"2,036.00",1028.4,1007.6
1999, 25 - 29,"1,885.20",951.7,933.5
1999, 30 - 34,"1,795.40",910.6,884.8
1999, 35 - 39,"1,623.80",828,795.8
1999, 40 - 44,"1,401.90",721,680.9
1999, 45 - 49,"1,141.10",590.8,550.3
1999, 50 - 54,828.9,432.9,396
1999, 55 - 59,632.9,327.1,305.8
1999, 60 - 64,501.8,247.8,254
1999, 65 - 69,364.7,175.2,189.5
1999, 70 - 74,249.8,118.9,130.9
1999, 75 - 79,138.3,63.2,75
1999, 80 - 84,85.1,36.3,48.8
1999, 85+,56.9,23.5,33.4
 
