Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1979, 25 - 29,1078.9,536.4,542.5
1979, 30 - 34,868.4,442.2,426.2
1979, 35 - 39,685.3,350.9,334.5
1979, 40 - 44,614.3,312.4,301.9
1979, 45 - 49,480.1,239.4,240.7
1979, 50 - 54,413.8,207,206.8
1979, 55 - 59,328.1,161.9,166.2
1979, 60 - 64,270,133.9,136.2
1979, 65 - 69,197.8,99.8,98
1979, 70+,288.3,141.4,146.9
 
